encoder,speed
2.721102,-19.627476
2.626190,-19.803459
2.577097,-19.485815
2.484678,-19.083542
2.395326,-19.691366
2.340193,-18.910086
2.254197,-19.159723
2.190726,-18.258240
2.109427,-17.959223
2.119578,-17.872772
1.996709,-17.586323
1.909580,-18.736814
1.831202,-18.741718
1.755941,-19.229435
1.681973,-18.865236
1.594059,-19.207563
1.521625,-19.349829
1.440228,-19.211756
1.363913,-19.657707
1.299100,-18.235004
1.221157,-18.346020
1.170100,-17.944530
1.096568,-18.433121
1.008462,-19.095264
0.935949,-19.115606
0.849791,-19.836189
0.780855,-19.035172
0.703055,-19.515093
0.621466,-19.267942
0.539519,-19.713228
0.465293,-19.342617
0.398965,-18.294975
0.321093,-18.546021
0.266298,-17.914135
0.193027,-18.428965
0.112026,-19.003311
0.030875,-19.497614
6.222275,-19.402435
6.174474,-18.763523
6.070839,-19.529947
6.020213,-18.933119
5.916099,-19.493015
5.864130,-18.952305
5.793568,-18.500835
5.690796,-17.911625
5.685130,-17.593822
5.566351,-18.447500
5.521861,-18.466030
5.415350,-19.359737
5.361848,-19.011660
5.256008,-19.096092
5.210942,-18.933975
5.105007,-18.828716
5.060804,-19.448965
4.978257,-18.479889
4.879416,-18.360802
4.838665,-17.669785
4.771073,-18.016102
4.709043,-18.317497
4.607422,-18.613506
4.560247,-19.983805
4.439930,-19.383551
4.397549,-19.796946
4.283656,-19.512980
4.209546,-20.011005
4.154988,-19.683907
4.078960,-18.993597
3.987471,-18.934185
3.931507,-17.717350
3.869093,-18.096966
3.787219,-18.311399
3.717615,-19.331249
3.631616,-19.911612
3.547918,-19.646263
3.454539,-20.347458
3.399886,-19.492668
3.297306,-20.045929
3.226933,-19.688072
3.149562,-19.480051
3.088680,-18.535246
3.021472,-17.739523
2.939695,-18.437481
2.887345,-18.255753
2.806813,-19.268259
2.719952,-19.382240
2.625135,-19.539955
2.576426,-19.234512
2.485732,-19.035793
2.396572,-19.828093
2.340673,-19.027277
2.255731,-19.234833
2.191685,-18.185425
2.110003,-17.859463
2.056790,-17.720543
1.999585,-17.556332
1.911018,-18.797226
1.840356,-18.721987
1.751100,-19.207249
1.683794,-18.979652
1.595497,-19.398277
1.521433,-19.467543
1.442146,-19.330666
1.364296,-19.620960
1.299771,-18.272942
1.229640,-18.120117
1.164493,-17.897316
1.098677,-18.339569
1.011722,-19.051222
0.941293,-19.028053
0.851804,-19.725124
0.783252,-18.875257
0.702216,-19.527348
0.624055,-19.346882
0.541148,-19.694765
0.467582,-19.367342
0.398642,-18.461485
0.322759,-18.586733
0.267832,-17.876322
0.194578,-18.467852
0.115426,-18.947952
0.032421,-19.509958
6.241634,-19.245903
6.176679,-18.925840
6.073332,-19.586994
6.022610,-18.967539
5.916962,-19.508957
5.865185,-19.003611
5.793951,-18.457291
5.692809,-17.979624
5.686951,-17.601952
5.567598,-18.429718
5.523683,-18.644634
5.418035,-19.465475
5.364820,-18.929136
5.260898,-19.153622
5.276702,-18.912664
5.109513,-18.924280
5.061954,-19.482441
4.979887,-18.546679
4.880662,-18.367641
4.839335,-17.616283
4.774333,-17.874304
4.710865,-18.268368
4.640781,-18.619118
4.531873,-19.939737
4.441560,-19.363161
4.399275,-19.637415
4.380090,-19.472546
4.211751,-20.034966
4.155660,-19.430792
4.081645,-19.122252
3.987855,-18.852789
3.933712,-17.855539
3.868517,-18.203457
3.804090,-18.347897
3.704482,-19.500864
3.711562,-19.956930
3.549260,-19.587646
3.552700,-20.273371
3.464879,-20.273371
3.298265,-20.156815
3.227700,-19.863514
3.227496,-19.703648
3.086859,-18.651962
3.020418,-17.767570
